dci,|111;00>,|000;01>
0,100,0
0.01,99.6649061737287,0.335093826271356
0.02,98.6845135002553,1.31548649974471
0.03,97.1326021134527,2.86739788654729
0.04,95.1159472711197,4.88405272888031
0.05,92.7528491822771,7.24715081772287
0.06,90.159507216766,9.84049278323404
0.07,87.4378855162743,12.5621144837258
0.08,84.6686833176634,15.3313166823366
0.09,81.9144229878908,18.0855770121092
0.1,79.2171704080046,20.7828295919954
0.11,76.607697699478,23.392302300522
0.12,74.0998678996037,25.9001321003963
0.13,71.7038810564682,28.2961189435318
0.14,69.4225253017265,30.5774746982735
0.15,67.254966523982,32.745033476018
